target Yamnaya1 Anatolia1 sd1  Yamnaya2   Anatolia2  std2 Yamnaya3 Anatolia3 std3 lambda
Hungary_Langobard       0.376 0.624 0.021 0.553 0.447 0.183 0.570 0.430 0.100 1e-3
Italy_Langobard         0.199 0.801 0.020 0.366 0.634 0.161 0.472 0.528 0.067 1e-3
Germany_Bell_Beaker     0.616 0.384 0.026 0.619 0.381 0.105 0.654 0.346 0.076 5e-2
Czech_Bell_Beaker       0.428 0.572 0.018 0.435 0.565 0.067 0.635 0.365 0.04  1e-3
France_Bell_Beaker      0.563 0.437 0.033 0.531 0.469 0.037 0.745 0.255 0.021 1e-3 
Iberia_Bell_Beaker      0.695 0.305 0.054 0.376 0.624 0.084 0.520 0.480 0.047 1e-3
England_Bell_Beaker     0.533 0.467 0.021 0.552 0.448 0.056 0.730 0.270 0.051 1e-3
Hungary_Bell_Beaker     0.466 0.534 0.025 0.561 0.439 0.206 0.664 0.336 0.161 1e-3
Netherlands_Bell_Beaker 0.597 0.403 0.025 0.598 0.402 0.037 0.772 0.228 0.058 2e-3
England_Saxon.SG        0.539 0.461 0.028 0.633 0.367 0.066 0.686 0.314 0.024 1e-3
Germany_Corded_Ware     0.817 0.183 0.032 0.744 0.256 0.048 0.806 0.194 0.004 1e-3
Czech_Corded_Ware       0.559 0.441 0.038 0.732 0.268 0.052 0.781 0.219 0.013 1e-3
England_MBA             0.422 0.578 0.026 0.629 0.371 0.034 0.678 0.322 0.027 5e-3
Germany_Unetice_EBA     0.603 0.397 0.035 0.650 0.350 0.028 0.734 0.266 0.009 1e-3
Czech_EBA               0.469 0.531 0.022 0.456 0.544 0.110 0.727 0.273 0.046 2e-4
England_CA_EBA          0.595 0.405 0.025 0.665 0.335 0.060 0.705 0.295 0.046 5e-2
Sweden_Viking.SG        0.601 0.399 0.028 0.672 0.328 0.086 0.690 0.310 0.045 1e-3 
England_N               0.323 0.677 0.054 0.000 1.000 0.000 0.257 0.743 0.011 5e-3
Scotland_N              0.149 0.851 0.032 0.000 1.000 0.000 0.217 0.783 0.017 5e-3 
Austria_LBK_EN          0.000 1.000 0.025 0.003 0.997 0.006 0.161 0.839 0.010 1e-3
Germany_LBK_EN          0.161 0.839 0.021 0.012 0.988 0.018 0.198 0.802 0.020 1e-2
Israel_C                0.000 1.000 0.021 0.000 1.000 0.000 0.228 0.772 0.029 1e-3 
